LAT,LON,LOCATION
48.208176,16.373819,Vienna
37.804363,-122.271111,Oakland
37.774929,-122.419418,San Francisco
28.538336,-81.379234,Orlando
42.360081,-71.058884,Boston
42.697708,23.321867,Sofia
51.507351,-0.127758,London
50.075539,14.437800,Prague
30.267153,-97.743057,Austin
41.878113,-87.629799,Chicago
47.606209,-122.332069,Seattle
45.512230,-122.658722,Portland
34.052235,-118.243683,Los Angeles
52.370216,4.895168,Amsterdam
36.169941,-115.139832,Las Vegas
29.951065,-90.071533,New Orleans
38.252666,-85.758453, Louisville
37.386051,-122.083855, Mountain View
43.038902,-87.906471,Milwaukee
37.338207,-121.886330,San Jose
37.354107,-121.955238,Santa Clara
